t,receiver,sender,accepted,range,doppler,t_tx_payload,t_meas,n_range,n_gps,n_nodes,collab_cost,solver_status,receiver_x_post,receiver_y_post,receiver_z_post,traceP_post
136.1666666666615,A04,A02,1,57.53457031684256,-0.05264615168603199,131.13333333332847,131.17185604444106,20,0,10,4299.308515416715,Solve_Succeeded,-23.022705825504424,-47.163064578305466,69.0,3.2519515015176967
136.23333333332818,A01,A02,1,144.28129429433028,-0.3915042718086679,131.13333333332847,131.2295463770288,19,0,10,619.7576778318153,Solve_Succeeded,-130.10872342012337,-0.9638884255943956,69.0,3.2521382268466144
141.39999999999455,A02,A03,1,51.869580031365835,-0.07388113810016536,136.3666666666615,136.4012733519816,20,0,10,8629.656632559136,Solve_Succeeded,6.371817084938847,0.10937971180216019,69.0,3.3583485074965616
141.43333333332788,A04,A03,1,101.18797189606282,0.03585132433587601,136.3666666666615,136.43415554564564,21,0,11,7034.291904984531,Solve_Succeeded,-27.7625126820048,-45.19436160723272,69.0,3.358392853752616
141.4666666666612,A01,A03,1,143.34075831264593,-0.0890919832604377,136.3666666666615,136.46215063925953,20,0,10,454.43279781711595,Solve_Succeeded,-130.50582364083738,1.1637666752622924,69.0,3.357860357459278
146.66666666666092,A02,A04,1,60.781738869081956,-0.05381286245928326,141.63333333332787,141.67372134312305,21,0,10,3293.2192527074467,Solve_Succeeded,5.839353878928487,-0.22724983335255228,69.0,3.4648113580384976
146.69999999999425,A01,A04,1,116.22436637120016,-0.283146994654484,141.63333333332787,141.7107916180359,21,0,11,891.6446126445653,Solve_Succeeded,-132.6477295420808,0.22343862154342561,69.0,3.463581610319774
146.69999999999425,A03,A04,1,102.7913485668368,0.03558172757462349,141.63333333332787,141.7017891692633,21,0,10,2075.40522122699,Solve_Succeeded,-1.5523392883232952,51.48346463516558,69.0,3.4638753203463866
151.96666666666061,A04,A01,1,117.65624584371345,-0.2835872154758258,146.89999999999424,146.97850065143538,22,0,10,4219.167803019936,Solve_Succeeded,-31.406149282447448,-46.978480505410324,69.0,3.5712727589371274
151.99999999999395,A02,A01,1,142.13486066493368,-0.4018805013516077,146.89999999999424,146.99471742923623,22,0,11,4704.506188678929,Solve_Succeeded,3.447372458205275,0.4577600859565219,69.0,3.5726222534883165
151.99999999999395,A03,A01,1,144.81522835513476,-0.08968194749007832,146.89999999999424,146.9964746768323,22,0,10,1148.2968068460623,Solve_Succeeded,-0.4356585795703907,51.72484417125366,69.0,3.5709541383536294
157.133333333327,A03,A02,1,50.446613260458314,-0.04766060533344528,152.09999999999394,152.13371634218535,23,0,11,1718.5802587615094,Solve_Succeeded,-2.8347930518619884,50.686693373557986,69.0,3.6746659534874047
157.133333333327,A04,A02,1,56.643100545599744,-0.04547916889683304,152.09999999999394,152.13786399936146,23,0,10,4928.156023751397,Solve_Succeeded,-34.69427794062335,-45.81589012268466,69.0,3.675691427845859
157.19999999999365,A01,A02,1,136.0137963615438,-0.38720221054387516,152.09999999999394,152.19068978931904,22,0,10,540.0869816113214,Solve_Succeeded,-134.584795937072,1.007824431118589,69.0,3.6756987198349966
162.39999999999336,A02,A03,1,50.56250647433469,-0.03468851242316202,157.3666666666603,157.4003222777371,23,0,10,9406.990112540612,Solve_Succeeded,-7.533800140712982,1.7940170988431405,69.0,3.782852411912066
162.4333333333267,A04,A03,1,101.93905473693738,0.04662581772424972,157.3666666666603,157.4346918017151,24,0,11,6752.7460911416165,Solve_Succeeded,-37.563618091609406,-46.51307420245698,69.0,3.7828042686682206
162.46666666666002,A01,A03,1,141.19325174291924,-0.08409671388930498,157.3666666666603,157.4609100050618,23,0,10,768.5500463389928,Solve_Succeeded,-135.92655521977284,0.7538373850504975,69.0,3.782094175823172
167.6333333333264,A02,A04,1,59.46354902698556,-0.04829674310897409,162.59999999999334,162.6396243047354,24,0,10,3650.756705661,Solve_Succeeded,-8.94275174390509,1.5663406435647569,69.0,3.888640927434341
167.66666666665972,A01,A04,1,110.5079248064188,-0.27008415337189545,162.59999999999334,162.67358737442095,24,0,11,1318.7760422581334,Solve_Succeeded,-137.8311317268294,0.06996906422042394,69.0,3.8871432792109735
167.66666666665972,A03,A04,1,103.72655802492497,0.04405869299401915,162.59999999999334,162.6691186054149,24,0,10,814.1707500226231,Solve_Succeeded,-6.27089776266631,52.06100390558873,69.0,3.887477191842038
172.9333333333261,A02,A01,1,133.92975861893305,-0.3958773390782052,167.8666666666597,167.95592534049464,25,0,11,6623.708872453518,Solve_Succeeded,-12.292045740037924,2.7235274589161635,69.0,3.995778174337364
172.9333333333261,A04,A01,1,111.95313602325831,-0.280517130135041,167.8666666666597,167.94132699183464,25,0,10,5025.953995738492,Solve_Succeeded,-43.228477009983216,-46.50056731081007,69.0,3.9950103971058653
172.96666666665942,A03,A01,1,143.01207420282958,-0.08967546760118429,167.8666666666597,167.96195468605413,25,0,10,765.6035242090577,Solve_Succeeded,-8.147175682016513,52.29185343414068,69.0,3.9945564880399402
178.1333333333258,A03,A02,1,50.170026627077185,-0.009591039616021004,173.09999999999275,173.13351641812488,26,0,11,1382.7370969194583,Solve_Succeeded,-11.197001331669194,53.40297712577136,69.0,4.098941743086377
178.1333333333258,A04,A02,1,55.87628035744243,-0.0474308514949952,173.09999999999275,173.13720403658928,26,0,10,5266.954729116938,Solve_Succeeded,-46.491348881023875,-45.22273238699966,69.0,4.1001038117920565
178.16666666665913,A01,A02,1,127.85206430397169,-0.4075649990947326,173.09999999999275,173.18520654067345,25,0,10,768.2815755851292,Solve_Succeeded,-140.82369076388775,-0.2675646245060237,69.0,4.099260008517933
183.36666666665883,A02,A03,1,49.890108354677864,-0.0009911971433343833,178.33333333332578,178.36654187369075,26,0,10,8395.069642188908,Solve_Succeeded,-20.681270257789187,2.3076873577485997,69.0,4.2066840671339625
